nombre,tipo
"ADMINISTRADORA DEL ""EDIFICIO DEL MOLINO"" (LEY 27.009)",BICAMERAL ESPECIAL
BICAMERAL CIUDAD DE BUENOS AIRES (LEY 24.588),BICAMERAL ESPECIAL
"BICAMERAL DE MONITOREO E IMPLEMENTACIÓN DEL CÓDIGO PROCESAL PENAL FEDERAL (LEY 27.063 Y SUS MODIFICATORIAS LEY 27.150, DECRETO 257/2015 Y LEY 27.482)",BICAMERAL ESPECIAL
BICAMERAL PARA LA REFORMA TRIBUTARIA (LEY 27.260),BICAMERAL ESPECIAL
BICAMERAL ASESORA DE LA FEDERACIÓN ARGENTINA DE MUNICIPIOS (LEY 24.807),BICAMERAL PERMANENTE
BICAMERAL DE CONTROL DE LOS FONDOS DE LA SEGURIDAD SOCIAL (LEY 26.425),BICAMERAL PERMANENTE
BICAMERAL DE REFORMA DEL ESTADO Y DEL SEGUIMIENTO DE LAS PRIVATIZACIONES (LEY 23.696),BICAMERAL PERMANENTE
BICAMERAL PERMANENTE DE FISCALIZACIÓN DE LOS ORGANISMOS Y ACTIVIDADES DE INTELIGENCIA (LEY 25.520),BICAMERAL PERMANENTE
BICAMERAL PERMANENTE DE FISCALIZACIÓN DE LOS ÓRGANOS Y ACTIVIDADES DE SEGURIDAD INTERIOR  (LEY 24.059 Y SUS MODIFICATORIAS LEYES 24.194 Y 25.520),BICAMERAL PERMANENTE
BICAMERAL PERMANENTE DE LA DEFENSORÍA DEL PUEBLO,BICAMERAL PERMANENTE
"BICAMERAL PERMANENTE DE PROMOCIÓN Y SEGUIMIENTO DE LA COMUNICACIÓN AUDIOVISUAL, LAS TECNOLOGÍAS DE LAS TELECOMUNICACIONES Y LA DIGITALIZACIÓN (LEY 26.522,Y SUS MODIFICATORIAS  27.078 Y DNU 267/15)",BICAMERAL PERMANENTE
BICAMERAL PERMANENTE DE SEGUIMIENTO DE CONTRATOS DE PARTICIPACIÓN PÚBLICO-PRIVADA (LEY 27.328),BICAMERAL PERMANENTE
BICAMERAL PERMANENTE DE SEGUIMIENTO Y CONTROL DE LA GESTIÓN DE CONTRATACIÓN Y DE PAGO DE LA DEUDA EXTERIOR DE LA NACIÓN (LEY 27.249),BICAMERAL PERMANENTE
BICAMERAL PERMANENTE DE SEGUIMIENTO Y CONTROL DEL MINISTERIO PÚBLICO DE LA NACIÓN (LEY 24.946 Y SUS MODIFICATORIAS LEY 27.148 Y 27.149),BICAMERAL PERMANENTE
BICAMERAL PERMANENTE DE TRÁMITE LEGISLATIVO (LEY 26.122),BICAMERAL PERMANENTE
"BICAMERAL PERMANENTE DEL DEFENSOR DE LOS DERECHOS DE NIÑAS, NIÑOS Y ADOLESCENTES (LEY 26.061)",BICAMERAL PERMANENTE
BICAMERAL PERMANENTE DEL DIGESTO  JURÍDICO ARGENTINO (LEY 26.939),BICAMERAL PERMANENTE
BICAMERAL PERMANENTE INTERPARLAMENTARIA ARGENTINO-MEXICANA,BICAMERAL PERMANENTE
BICAMERAL PERMANENTE PARLAMENTARIA CONJUNTA ARGENTINO-CHILENA,BICAMERAL PERMANENTE
BICAMERAL PERMANENTE PARLAMENTARIA MIXTA REVISORA DE CUENTAS,BICAMERAL PERMANENTE
DE INTEGRACIÓN BILATERAL Y COOPERACIÓN ENTRE LA REPÚBLICA ARGENTINA Y LA REPÚBLICA FEDERATIVA DE BRASIL,BICAMERAL PERMANENTE
BANCA DE LA MUJER,UNICAMERAL PERMANENTE
DE ACUERDOS,UNICAMERAL PERMANENTE
"DE AGRICULTURA, GANADERÍA Y PESCA",UNICAMERAL PERMANENTE
DE AMBIENTE Y DESARROLLO SUSTENTABLE,UNICAMERAL PERMANENTE
DE ASUNTOS ADMINISTRATIVOS Y MUNICIPALES,UNICAMERAL PERMANENTE
DE ASUNTOS CONSTITUCIONALES,UNICAMERAL PERMANENTE
DE CIENCIA Y TECNOLOGÍA,UNICAMERAL PERMANENTE
DE COPARTICIPACIÓN FEDERAL DE IMPUESTOS,UNICAMERAL PERMANENTE
DE DEFENSA NACIONAL,UNICAMERAL PERMANENTE
DE DEPORTE,UNICAMERAL PERMANENTE
DE DERECHOS Y GARANTÍAS,UNICAMERAL PERMANENTE
DE ECONOMÍA NACIONAL E INVERSIÓN,UNICAMERAL PERMANENTE
"DE ECONOMÍAS REGIONALES, ECONOMÍA SOCIAL, MICRO, PEQUEÑA Y MEDIANA EMPRESA",UNICAMERAL PERMANENTE
DE EDUCACIÓN Y CULTURA,UNICAMERAL PERMANENTE
DE INDUSTRIA Y COMERCIO,UNICAMERAL PERMANENTE
"DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE",UNICAMERAL PERMANENTE
DE JUSTICIA Y ASUNTOS PENALES,UNICAMERAL PERMANENTE
DE LEGISLACIÓN GENERAL,UNICAMERAL PERMANENTE
"DE MINERÍA, ENERGÍA Y COMBUSTIBLES",UNICAMERAL PERMANENTE
DE POBLACIÓN Y DESARROLLO  HUMANO,UNICAMERAL PERMANENTE
DE PRESUPUESTO Y HACIENDA,UNICAMERAL PERMANENTE
DE RELACIONES EXTERIORES Y CULTO,UNICAMERAL PERMANENTE
DE SALUD,UNICAMERAL PERMANENTE
DE SEGURIDAD INTERIOR Y NARCOTRÁFICO,UNICAMERAL PERMANENTE
"DE SISTEMAS, MEDIOS DE COMUNICACIÓN Y LIBERTAD DE EXPRESIÓN",UNICAMERAL PERMANENTE
DE TRABAJO Y PREVISIÓN SOCIAL,UNICAMERAL PERMANENTE
DE TURISMO,UNICAMERAL PERMANENTE
