partido,senadores
Sin Especificar,423
Justicialista,139
Unión Cívica Radical,105
Frejuli,35
Alianza Frente para la Victoria,31
U. C. R. Del Pueblo,23
Frente de Todos,20
Juntos por el Cambio,18
Alianza la Libertad Avanza,18
Frente para la Victoria,16
Conservador,13
Democrata Nacional,12
Alianza Unión por la Patria,10
Peronista,9
Movimiento Popular Neuquino,9
U. C. R. Antipersonalista,8
Alianza Cambiemos,8
Socialista,6
U. C. R. Intransigente,6
Frente Renovador de la Concordia,6
Fuerza Republicana,5
Frente Cívico por Santiago,5
Movimiento Popular Fueguino,5
Autonomista,5
Alianza Frente de Todos,5
Bloquista de San Juan,5
Fuerza Patria,4
Alianza Unión Pro,4
Frente Todos,4
Frepaso,4
Cruzada Renovadora de San Juan,3
Juntos por el Cambio Chubut,3
Cambiemos Fuerza Cívica Riojana,3
Cambiemos Buenos Aires,3
Democrata Progresista,3
Frente Cambia Mendoza,3
Afirmación para una República Igualitaria,3
Frente Cívico y Social de Catamarca,3
Liberal,2
Frente Unidad Justicialista San Luis,2
Frente Renovador de la Concordia-Innovación Federal,2
Partido Renovador Federal,2
Laborista,2
Liberal de Corrientes,2
Eco + Vamos Corrientes,2
Frente Justicialista Riojano,2
Juntos Somos Río Negro,2
Democrata Cristiano,2
Alianza Frente Cívico,2
Union Popular,2
Alianza Frente Just. Chaco Merece Más,2
Unidad Ciudadana,2
Alianza Frente Justicialista para la Victoria,2
Unión para Vivir Mejor Cambiemos,2
Democrata - Mendoza,2
Alianza Frente P/Victoria (Peronismo Pampeano),2
Alianza Coalición Cívica,2
Alianza Republicana Federal,2
Alianza Frente Cívico Federal Ucr-Confe,2
Alianza Unión por Córdoba,2
Alianza por Santa Cruz,2
Avanzar y Cambiemos por San Luis,2
Blanco de los Trabaj.-Jujuy,2
Renovador de Salta,2
Al. Pop. Federalista-Catamarca,2
Popular de Jujuy,2
Al. Pop. Fed.-Santa Fe,2
Unión por Chaco,1
Vanguardia Federal-Tucuman,1
Juntos por el Cambio Tierra del Fuego,1
U.d.e.l.p.a.,1
Laborista Nacionalista-Salta,1
U.c.r. Bloquista San Juan,1
Mov. De Integrac. Y Desarrollo,1
Movim. Popular Salteño,1
Movimiento Santiago Viable,1
Primero Los Salteños,1
Partido de la Victoria,1
Accion Popular - San Luis,1
Frente Cambiemos,1
Hacemos por Córdoba,1
Fuerza Entre Ríos,1
Al. Pop. Renovadora-Mendoza,1
Alianza Cambiemos San Juan,1
Alianza Concertación para el Desarrollo,1
Alianza Encuentro Corrientes,1
Alianza Frente Cívico y Social,1
Alianza Frente Justicialista,1
Alianza Frente Nuevo,1
Alianza Frente Popular Riojano,1
Alianza Frente Progresista,1
Alianza Frente para la Victoria - Partido Renovador de Salta,1
Alianza Frente para la Victoria Riojano,1
Alianza Unen,1
Autonomista de Buenos Aires,1
Chubut Somos Todos,1
Conservador Popular-Catamarca,1
Conservador del Chaco,1
De la Just. Soc. De Tucuman,1
Defensa Provincial de Tucuman,1
Encuentro por Corrientes (A.c. y S.),1
Frente Acuerdo Cívico y Social,1
Frente Amplio Formoseño Cambiemos,1
Frente Amplio Progresista,1
Frente Cívico y Social,1
Frente Fuerza Patria Peronista,1
Frente Jujeño Cambiemos,1
Frente Justicialista,1
Frente Justicialista para la  Victoria,1
Frente Progresista Cívico y Social,1
Frente por la Integración,1
la Neuquinidad,1
