partido,bancas,participation_pct,votos_afirmativos,votos_negativos,abstenciones,Mayoría,Primera Minoría
Unión por la Patria,22,48.5,697,1250,17,12,10
La Libertad Avanza,18,45.5,1418,72,16,14,4
Unión Cívica Radical,12,37.8,767,67,1,8,4
Fuerza Patria,4,39.7,83,206,3,2,2
Alianza por Santa Cruz,2,52.2,100,90,2,2,0
Eco + Vamos Corrientes,2,53.8,190,8,0,2,0
Partido Renovador Federal,2,54.6,189,10,2,2,0
Frente Renovador de la Concordia-Innovación Federal,2,54.9,196,6,0,2,0
Frente Cívico por Santiago,2,26.1,29,66,1,2,0
Frente Cambia Mendoza,2,26.9,95,4,0,2,0
Fuerza Entre Ríos,1,50.5,25,66,2,0,1
Hacemos por Córdoba,1,46.7,51,19,16,0,1
Primero Los Salteños,1,0.0,0,0,0,0,1
la Neuquinidad,1,50.0,69,14,9,0,1
