provincia,senadores,participation_pct,votos_total,partidos,Mayoría,Primera Minoría
Chaco,3,53.9,291,Fuerza Patria / La Libertad Avanza,2,1
Formosa,3,53.9,291,La Libertad Avanza / Unión por la Patria,2,1
Misiones,3,53.7,291,Frente Renovador de la Concordia-Innovación Federal / Unión Cívica Radical,2,1
San Luis,3,53.5,291,La Libertad Avanza / Unión por la Patria,2,1
San Juan,3,53.5,291,La Libertad Avanza / Unión por la Patria,2,1
Corrientes,3,52.8,291,Eco + Vamos Corrientes / Unión por la Patria,2,1
Santa Fe,3,52.4,291,Unión Cívica Radical / Unión por la Patria,2,1
Entre Ríos,3,52.4,291,Fuerza Entre Ríos / La Libertad Avanza,2,1
Buenos Aires,3,52.0,291,Unión Cívica Radical / Unión por la Patria,2,1
Ciudad Autónoma de Buenos Aires,3,52.0,291,Fuerza Patria / La Libertad Avanza,2,1
La Rioja,3,52.0,291,La Libertad Avanza / Unión por la Patria,2,1
Santa Cruz,3,52.0,291,Alianza por Santa Cruz / Unión por la Patria,2,1
Chubut,3,45.2,291,Unión Cívica Radical / Unión por la Patria,2,1
Jujuy,3,35.9,194,Partido Renovador Federal / Unión por la Patria,2,1
La Pampa,3,35.9,194,Unión Cívica Radical / Unión por la Patria,2,1
Salta,3,35.7,193,La Libertad Avanza / Primero Los Salteños,2,1
Tucumán,3,35.7,194,Unión Cívica Radical / Unión por la Patria,2,1
Río Negro,3,35.7,193,Fuerza Patria / La Libertad Avanza,2,1
Santiago del Estero,3,34.8,194,Frente Cívico por Santiago / Unión por la Patria,2,1
Neuquén,3,34.1,194,La Libertad Avanza / la Neuquinidad,2,1
Catamarca,3,33.5,194,Unión Cívica Radical / Unión por la Patria,2,1
Mendoza,3,33.3,194,Frente Cambia Mendoza / Unión por la Patria,2,1
Córdoba,3,31.5,194,Hacemos por Córdoba / Unión Cívica Radical,2,1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",3,18.0,97,La Libertad Avanza / Unión por la Patria,2,1
