id,nombre,provincia,partido,foto,email,telefono,periodo_inicio,periodo_fin
3269,"Abad, Elias",Corrientes,Sin Especificar,,,,1941-01-22,1950-01-19
546,"Abad, Maximiliano",Buenos Aires,Juntos por el Cambio,https://api.argentinadatos.com/static/senado/senadores/546.gif,maximiliano.abad@senado.gob.ar,(+54 11) 28223000,2023-12-10,2029-12-09
452,"Abal Medina, Juan Manuel",Buenos Aires,Frente para la Victoria,https://api.argentinadatos.com/static/senado/senadores/452.gif,,,2011-12-10,2017-12-09
564,"Abdala, Bartolomé Esteban",San Luis,Alianza la Libertad Avanza,https://api.argentinadatos.com/static/senado/senadores/564.gif,bartolome.abdala@senado.gob.ar,(+54 11) 28223000,2023-12-10,2029-12-09
3302,"Abdala, Demetrio Cesar",La Rioja,Sin Especificar,https://api.argentinadatos.com/static/senado/senadores/3302.gif,,,1963-08-12,1966-04-30
3414,"Abdala, Felipe",Mendoza,U. C. R. Del Pueblo,,,,1963-08-12,1969-04-30
371,"Abrameto, Jacobo Alberto",Río Negro,Unión Cívica Radical,,,,2007-08-08,2007-12-09
3364,"Acevedo, Jose Leonardo",Entre Ríos,Sin Especificar,,,,1857-05-12,1866-04-30
3184,"Acuña, Aurelio Simon",Catamarca,Democrata Nacional,,,,1941-09-19,1950-01-19
3206,"Acuña, Ernesto Niceo",Catamarca,U. C. R. Del Pueblo,,,,1966-05-19,1975-04-30
3189,"Acuña, Ramon Edgardo",Catamarca,U. C. R. Del Pueblo,,,,1963-08-12,1972-04-30
3342,"Aguiar Vazquez, Americo Angel",San Juan,U. C. R. Del Pueblo,,,,1963-12-11,1972-04-30
434,"Aguilar, Eduardo Alberto",Chaco,Frente para la Victoria,https://api.argentinadatos.com/static/senado/senadores/434.gif,,,2013-12-10,2019-12-09
3435,"Aguinaga, Carlos Ernesto",Mendoza,Democrata - Mendoza,,,,1966-05-18,1975-04-30
1,"Aguirre Lanari, Juan Ramon",Corrientes,Liberal de Corrientes,https://api.argentinadatos.com/static/senado/senadores/1.gif,,,1963-08-12,1972-04-30
419,"Aguirre, Hilda Clelia",La Rioja,Alianza Frente Popular Riojano,https://api.argentinadatos.com/static/senado/senadores/419.gif,,,2011-12-10,2017-12-09
205,"Agundez, Jorge Alfredo",San Luis,Unión Cívica Radical,https://api.argentinadatos.com/static/senado/senadores/205.gif,,,2001-12-10,2005-12-09
84,"Alasino, Augusto",Entre Ríos,Justicialista,https://api.argentinadatos.com/static/senado/senadores/84.gif,,,1992-12-02,2001-12-09
3376,"Albariño, Ramon Amancio",Entre Ríos,Sin Especificar,,,,1952-06-11,1958-04-30
3334,"Albarracin, Alejandro",San Juan,Sin Especificar,,,,1889-05-02,1898-04-30
3353,"Albarracin, Martin",San Juan,Conservador,,,,1913-04-29,1922-04-30
3014,"Alem, Leandro Niceforo",Ciudad Autónoma de Buenos Aires,Unión Cívica Radical,,,,1889-05-02,1895-04-30
271,"Alfonsin, Raúl Ricardo",Buenos Aires,Unión Cívica Radical,,,,2001-12-10,2005-12-09
3107,"Allende, Jose Antonio",Córdoba,Frejuli,,,,1973-05-03,1977-03-31
583,"Almeida, Romina María",Entre Ríos,Alianza la Libertad Avanza,,romina.almeida@senado.gob.ar,(+54 11) 28223000,2025-12-10,2031-12-09
48,"Almendra, Ramon A.",Santa Cruz,Justicialista,https://api.argentinadatos.com/static/senado/senadores/48.gif,,,1983-11-29,1986-12-09
206,"Almiron, Carlos Humberto",Tucumán,Fuerza Republicana,https://api.argentinadatos.com/static/senado/senadores/206.gif,,,1995-11-29,2001-12-09
462,"Almirón, Ana Claudia",Corrientes,Alianza Frente para la Victoria,https://api.argentinadatos.com/static/senado/senadores/462.gif,,,2015-12-10,2021-12-09
327,"Alperovich, José Jorge",Tucumán,Alianza Frente para la Victoria,https://api.argentinadatos.com/static/senado/senadores/327.gif,,,2015-12-10,2021-12-09
3044,"Alsina, Valentin",Buenos Aires,Autonomista de Buenos Aires,,,,1868-05-02,1877-04-30
246,"Altuna, Juan Carlos",Chubut,Unión Cívica Radical,https://api.argentinadatos.com/static/senado/senadores/246.gif,,,1998-11-25,2001-12-09
3209,"Alvarado, Ramon",Jujuy,Sin Especificar,,,,1854-10-17,1863-04-30
3214,"Alvarado, Sergio F.",Jujuy,Sin Especificar,,,,1904-05-02,1913-04-30
522,"Alvarez Rivero, Carmen",Córdoba,Juntos por el Cambio,https://api.argentinadatos.com/static/senado/senadores/522.gif,carmen.alvarez@senado.gob.ar,(+54 11) 28223000,2021-12-10,2027-12-09
3569,"Alvarez, Antenor",Santiago del Estero,Sin Especificar,,,,1901-07-20,1910-04-30
3255,"Alvarez, Francisco M.",Corrientes,Sin Especificar,,,,1935-05-02,1944-04-30
3426,"Alvarez, Jacinto",Mendoza,Sin Especificar,,,,1901-05-07,1910-04-30
3113,"Alvarez, Juan Antonio",Córdoba,Sin Especificar,,,,1874-04-30,1883-04-30
3011,"Alvear, Diego De",Ciudad Autónoma de Buenos Aires,Sin Especificar,,,,1882-05-04,1883-04-30
3358,"Amado, Elias Teodoro Francisco",San Juan,Sin Especificar,,,,1952-06-11,1955-04-30
3102,"Amelotti, Osvaldo",Córdoba,Sin Especificar,,,,1946-05-22,1952-04-30
2,"Amoedo, Julio A.",Catamarca,Conservador Popular-Catamarca,https://api.argentinadatos.com/static/senado/senadores/2.gif,,,1983-11-29,1992-12-09
3475,"Anadon, Lorenzo",Santa Fe,Sin Especificar,,,,1892-06-28,1901-04-30
