fecha,tipo,nro_sesion,nro_reunion,url
18-03-2026,ORDINARIA,01,02,https://www.senado.gov.ar/parlamentario/sesiones/18-03-2026/02/downloadTac
01-03-2026,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/01-03-2026/00/downloadTac
27-02-2026,ESPECIAL EXTRAORDINARIA,05,16,https://www.senado.gov.ar/parlamentario/sesiones/27-02-2026/16/downloadTac
26-02-2026,ESPECIAL EXTRAORDINARIA,04,15,https://www.senado.gov.ar/parlamentario/sesiones/26-02-2026/15/downloadTac
24-02-2026,PREPARATORIA,00,01,https://www.senado.gov.ar/parlamentario/sesiones/24-02-2026/01/downloadTac
24-02-2026,ESPECIAL EXTRAORDINARIA,03,14,https://www.senado.gov.ar/parlamentario/sesiones/24-02-2026/14/downloadTac
11-02-2026,ESPECIAL EXTRAORDINARIA,02,13,https://www.senado.gov.ar/parlamentario/sesiones/11-02-2026/13/downloadTac
26-12-2025,ESPECIAL EXTRAORDINARIA,01,12,https://www.senado.gov.ar/parlamentario/sesiones/26-12-2025/12/downloadTac
28-11-2025,ESPECIAL,02,11,https://www.senado.gov.ar/parlamentario/sesiones/28-11-2025/11/downloadTac
02-10-2025,ORDINARIA,07,10,https://www.senado.gov.ar/parlamentario/sesiones/02-10-2025/10/downloadTac
18-09-2025,ORDINARIA,06,09,https://www.senado.gov.ar/parlamentario/sesiones/18-09-2025/09/downloadTac
04-09-2025,ORDINARIA,05,08,https://www.senado.gov.ar/parlamentario/sesiones/04-09-2025/08/downloadTac
21-08-2025,ORDINARIA,04,07,https://www.senado.gov.ar/parlamentario/sesiones/21-08-2025/07/downloadTac
10-07-2025,ORDINARIA,03,06,https://www.senado.gov.ar/parlamentario/sesiones/10-07-2025/06/downloadTac
26-06-2025,INFORMATIVA ESPECIAL,01,05,https://www.senado.gov.ar/parlamentario/sesiones/26-06-2025/05/downloadTac
07-05-2025,ORDINARIA,02,04,https://www.senado.gov.ar/parlamentario/sesiones/07-05-2025/04/downloadTac
24-04-2025,ORDINARIA,01,03,https://www.senado.gov.ar/parlamentario/sesiones/24-04-2025/03/downloadTac
03-04-2025,ESPECIAL,01,02,https://www.senado.gov.ar/parlamentario/sesiones/03-04-2025/02/downloadTac
01-03-2025,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/01-03-2025/00/downloadTac
24-02-2025,EN MINORÍA,00,01,https://www.senado.gov.ar/parlamentario/sesiones/24-02-2025/01/downloadTac
20-02-2025,EXTRAORDINARIA,01,13,https://www.senado.gov.ar/parlamentario/sesiones/20-02-2025/13/downloadTac
12-12-2024,ESPECIAL,05,12,https://www.senado.gov.ar/parlamentario/sesiones/12-12-2024/12/downloadTac
27-11-2024,INFORMATIVA ESPECIAL,02,11,https://www.senado.gov.ar/parlamentario/sesiones/27-11-2024/11/downloadTac
26-09-2024,ORDINARIA,04,10,https://www.senado.gov.ar/parlamentario/sesiones/26-09-2024/10/downloadTac
12-09-2024,ORDINARIA,03,09,https://www.senado.gov.ar/parlamentario/sesiones/12-09-2024/09/downloadTac
22-08-2024,ORDINARIA,02,07,https://www.senado.gov.ar/parlamentario/sesiones/22-08-2024/07/downloadTac
22-08-2024,ESPECIAL,04,08,https://www.senado.gov.ar/parlamentario/sesiones/22-08-2024/08/downloadTac
04-07-2024,ESPECIAL,03,06,https://www.senado.gov.ar/parlamentario/sesiones/04-07-2024/06/downloadTac
12-06-2024,ESPECIAL,02,05,https://www.senado.gov.ar/parlamentario/sesiones/12-06-2024/05/downloadTac
15-05-2024,INFORMATIVA ESPECIAL,01,04,https://www.senado.gov.ar/parlamentario/sesiones/15-05-2024/04/downloadTac
18-04-2024,ORDINARIA,01,03,https://www.senado.gov.ar/parlamentario/sesiones/18-04-2024/03/downloadTac
14-03-2024,ESPECIAL,01,02,https://www.senado.gov.ar/parlamentario/sesiones/14-03-2024/02/downloadTac
01-03-2024,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/01-03-2024/00/downloadTac
23-02-2024,PREPARATORIA,00,01,https://www.senado.gov.ar/parlamentario/sesiones/23-02-2024/01/downloadTac
13-12-2023,ESPECIAL,04,08,https://www.senado.gov.ar/parlamentario/sesiones/13-12-2023/08/downloadTac
10-12-2023,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/10-12-2023/00/downloadTac
07-12-2023,ESPECIAL,03,07,https://www.senado.gov.ar/parlamentario/sesiones/07-12-2023/07/downloadTac
29-11-2023,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/29-11-2023/00/downloadTac
02-11-2023,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/02-11-2023/00/downloadTac
28-09-2023,ESPECIAL,02,06,https://www.senado.gov.ar/parlamentario/sesiones/28-09-2023/06/downloadTac
