id,nombre,provincia,partido,periodoLegal,periodoReal,reemplazo,observaciones,foto,email,telefono,redes,partido_normalizado,rol_provincial,abstenciones,ausencias,lev.vot.,votos_negativos,votos_afirmativos,votos_total,participation_pct
546,"Abad, Maximiliano",Buenos Aires,Juntos por el Cambio,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/546.gif,,,,Unión Cívica Radical,Primera Minoría,0,13,0.0,24,88,125,53.85
545,"De Pedro, Eduardo Enrique",Buenos Aires,Alianza Unión por la Patria,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/545.gif,,,,Unión por la Patria,Mayoría,1,0,0.0,89,35,125,60.1
517,"Di Tullio, Juliana",Buenos Aires,Alianza Unión por la Patria,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}","Di Tullio, Juliana",,https://api.argentinadatos.com/static/senado/senadores/517.gif,,,,Unión por la Patria,Mayoría,1,3,0.0,87,34,125,58.65
519,"Andrada, Guillermo Eduardo",Catamarca,Frente de Todos,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/519.gif,,,,Unión por la Patria,Mayoría,1,2,0.0,51,71,125,59.13
398,"Corpacci, Lucía Benigna",Catamarca,Frente de Todos,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/398.gif,,,,Unión por la Patria,Mayoría,0,0,,0,0,0,0.0
520,"Fama, Flavio Sergio",Catamarca,Juntos por el Cambio,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/520.gif,,,,Unión Cívica Radical,Primera Minoría,0,13,0.0,2,110,125,53.85
285,"Capitanich, Jorge Milton",Chaco,Fuerza Patria,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/285.gif,,,,Fuerza Patria,Primera Minoría,1,0,0.0,87,37,125,60.1
578,"Godoy, Juan Cruz",Chaco,Alianza la Libertad Avanza,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/578.gif,,,,La Libertad Avanza,Mayoría,1,0,0.0,7,117,125,60.1
579,"Schneider, Silvana Lorena",Chaco,Alianza la Libertad Avanza,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/579.gif,,,,La Libertad Avanza,Mayoría,1,0,0.0,5,119,125,60.1
570,"Cristina, Andrea Marcela",Chubut,Juntos por el Cambio Chubut,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/570.gif,,,,Unión Cívica Radical,Mayoría,0,25,0.0,12,88,125,48.08
528,"Terenzi, Edith Elizabeth",Chubut,Juntos por el Cambio Chubut,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/528.gif,,,,Unión Cívica Radical,Mayoría,1,23,0.0,12,89,125,49.04
529,"Linares, Carlos Alberto",Chubut,Frente de Todos,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/529.gif,,,,Unión por la Patria,Primera Minoría,1,4,1.0,87,32,124,57.69
580,"Bullrich, Patricia",Ciudad Autónoma de Buenos Aires,Alianza la Libertad Avanza,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/580.gif,,,,La Libertad Avanza,Mayoría,2,0,0.0,6,117,125,60.1
581,"Monteverde, Agustín Aníbal",Ciudad Autónoma de Buenos Aires,Alianza la Libertad Avanza,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/581.gif,,,,La Libertad Avanza,Mayoría,1,4,0.0,7,113,125,58.17
498,"Recalde, Mariano",Ciudad Autónoma de Buenos Aires,Fuerza Patria,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/498.gif,,,,Fuerza Patria,Primera Minoría,1,16,0.0,83,25,125,52.4
461,"Espínola, Carlos Mauricio",Corrientes,Frente Todos,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/461.gif,,,,Unión por la Patria,Primera Minoría,0,10,0.0,4,111,125,55.29
525,"Valenzuela, Mercedes Gabriela",Corrientes,Eco + Vamos Corrientes,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/525.gif,,,,Eco + Vamos Corrientes,Mayoría,0,4,0.0,5,116,125,58.17
524,"Vischi, Eduardo Alejandro",Corrientes,Eco + Vamos Corrientes,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/524.gif,,,,Eco + Vamos Corrientes,Mayoría,0,0,0.0,5,120,125,60.1
522,"Alvarez Rivero, Carmen",Córdoba,Juntos por el Cambio,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/522.gif,,,,Unión Cívica Radical,Mayoría,0,0,,0,0,0,0.0
